Advertisements 	date.2,Street,R.,m²,Floor,Series,"Price, m2",Price
Īpašnieks pārdod greznu dzīvokli pašā pilsētas centrā. Renovēt,Avotu 4,2,34,1/4,Recon.,"3,735 €","127,000 €"
Rīgas centrā tiek pārdots 2-istabu saulains un elegants dzīvokli,Brivibas 68,2,45,2/6,Recon.,"3,531 €","158,900 €"
"Pašā Rīga sirdī, pretī pilsētas kanālam, pārdodam 3-istabu mansa",Raina boul. 3A,3,64,6/6,Recon.,"2,188 €","140,000 €"
Attīstītājs pārdod penthouse tipa dzīvokli Nr. 13 ir ar plašu pa,Skolas 17,5,181,6/7,New,"4,304 €","778,936 €"
Attīstītājs pārdod 2 ist. dzīvokli renovētā dzīvokļu kompleksā B,Brivibas 91,2,40,1/6,Recon.,"2,375 €","95,000 €"
Attīstītājs pārdod 1 ist. dzīvokli renovētā dzīvokļu kompleksā B,Brivibas 91,1,40,6/6,Recon.,"2,350 €","94,000 €"
Attīstītājs pārdod 1 ist. dzīvokli renovētā dzīvokļu kompleksā B,Brivibas 91,1,40,5/6,Recon.,"2,350 €","94,000 €"
Attīstītājs pārdod 1 ist. dzīvokli renovētā dzīvokļu kompleksā B,Brivibas 91,1,38,2/6,Recon.,"2,368 €","90,000 €"
Elegants 3 istabu dzīvoklis Klusajā Centrā - īpaši mājīgs mansar,Kalpaka boul. 7,3,83,5/5,Recon.,"4,578 €","380,000 €"
Gaišs un plašs dzīvoklis ar mūsdienīgu dizainu kvalitatīvā ķieģe,Skolas 34,3,94,1/7,Spec. pr.,"2,021 €","190,000 €"
Dzīvoklis + autostāvvieta. Pārdodam mājīgu 2-istabu dzīvokli ar,Vezhu 14,2,66,1/7,New,"1,818 €","120,000 €"
"5-istabu dzīvoklis, 93 kv. m. platībā, Dzirnavu ielā, kvartālā s",Dzirnavu 89,5,93,1/5,Pre-war house,"1,570 €","146,000 €"
"Remontts, izolētas istabas, lodžija, iebūvēta virtuve un skapis,",Stabu 104,3,61,4/5,Lit pr.,"1,480 €","90,300 €"
Pārdod autentisku dzīvokli Čaka ielā ar saglabātām vēsturiskām d,Chaka 49,4,96,2/5,Pre-war house,"1,218 €","116,900 €"
Piedāvājumā svaigi renovēts plašs un mājīgs 3 istabu dzīvoklis v,Zala 3,3,80,1/4,Pre-war house,"2,738 €","219,000 €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Matīsa N,Matisa 27,3,54,2/6,Recon.,"2,102 €","113,500 €"
3 istabu dzīvoklis centrā ar balkonu un autostāvvietu. Dzīvo,Valdemara 83,3,78,3/6,Recon.,"2,436 €","190,000 €"
Elegants 5-istabu dzīvokis prestižā Ģertrūdes ielas baznīcas apk,Gertrudes 9,5,160,3/7,Pre-war house,"1,997 €","319,500 €"
"Pārdošanā četristabu dzīvoklis ar kopējo platību 63, 1 m² Bruņin",Bruninieku 20,4,63,4/6,Recon.,"2,603 €","164,000 €"
Piedāvājumā unikāls dzīvoklis vēsturiskā 1913. gadā celtā neokla,Marijas 25,4,102,2/6,Pre-war house,"1,569 €","160,000 €"
Arhitekta Artūra Mēdlingera projektētajā pirmskara laika mājā ti,Rupniecibas 5,3,116,3/5,Recon.,"2,582 €","299,500 €"
"Pārdodam 2 istabu dzīvokli, plastikāta stikla pakešu logi, mēbel",Avotu 66,2,26,5/5,Pre-war house,846 €,"22,000 €"
"Pagalma māja, 2 istabas izolētas, viesistaba ar kamīnu caurstaig",Brivibas 136,3,89,3/5,Pre-war house,"1,787 €","159,000 €"
Iegādei pieejams 2-istabu dzīvoklis Rīgas centrā. Ērts un klus,Bruninieku 87,2,57,4/4,Pre-war house,"1,561 €","89,000 €"
Pārdošanā elegants un plašs četru istabu dzīvoklis Brīvības ielā,Brivibas 105,4,162,3/5,Recon.,"2,654 €","430,000 €"
Pārdod ekskluzīvu divstāvu dzīvokli ar terasi Rīgas Klusajā cent,Strelnieku 1b,Other,380,4/4,Pre-war house,"4,000 €","1,520,000 €"
Rīgas centrā tiek pārdots 1-istabu studio tipa dzīvoklis Iesp,Brivibas 68,1,26,1/6,Recon.,"3,487 €","90,650 €"
"Kluss, saulains dzīvoklis 20 gadus atpakaļ renovētas mājas 2, st",Lugazhu 14A,1,34,2/3,Recon.,"1,471 €","50,000 €"
"Piedāvājam rezervācijai 82, 4 m² plašu 4 istabu mansarda dzīvokl",Bruninieku 41,4,82,5/5,Pre-war house,"1,960 €","160,680 €"
"Īpašnieks pārdod dzīvokli centrā, koka mājā, laba lokācija. Dzīv",Avotu 65,1,32,2/2,Pre-war house,719 €,"23,000 €"
Piedāvājam rezervācijai 72 m² plašu 3 istabu mansarda dzīvokli v,Bruninieku 41,3,72,5/5,Pre-war house,"1,790 €","128,880 €"
"Pārdod dzīvokli Rīgas klusajā centrā, prestižajā vēstniecību raj",Pulkv. Briezha 8,4,98,6/6,Pre-war house,"2,286 €","224,000 €"
Plašs un gaišs dizainera veidots 4-istabu dzīvoklis Rīgas centrā,Bruninieku 38,4,107,3/5,Recon.,"3,262 €","349,000 €"
Izsmalcināts un elegants dzīvoklis pašā Vecrīgas sirdī – Tirgoņu,Tirgonu 11,3,122,2/5,Recon.,"3,689 €","450,000 €"
"Pārdošanā ekskluzīvas dizaina studijas telpas Rīgas centrā, ar A",Blaumana 12,2,115,1/7,Recon.,"3,000 €","345,000 €"
"Divu istabu dzīvoklis Premium Klases ēkā, 3.stāvā. ""One Deve",Marijas 4,2,43,3/5,Recon.,"3,596 €","154,638 €"
"Pārdošanā gaišs, saulains un silts dzīvoklis izcilā lokācijā - p",Terbatas 16/18,3,111,4/5,Recon.,"1,802 €","200,000 €"
Lieliska iespēja iegādāties dzīvokli ar garāžu prestižajā vēstni,Rupniecibas 15,2,52,1/1,Pre-war house,"1,904 €","99,000 €"
"Skolas iela 4 Plašs 4 istabu dzīvoklis 147, 6 m² platībā. D",Skolas 4,4,148,4/7,Pre-war house,"3,649 €","540,000 €"
Iztirgojam māju pa dzīvokļiem. Izvilkti jauni ūdens un kanalizāc,Chaka 133,1,29,5/6,Pre-war house,"1,561 €","45,269 €"
Izsmalcināts franču stila dzīvoklis vēstniecību rajonā ar privāt,Ausekla 2,6,221,3/6,Recon.,"3,394 €","750,000 €"
"Pārdošanā 1-istabas Dzīvoklis Grīziņkalnā, A. Čaka Ielā 133.",Chaka 133,1,29,5/6,Pre-war house,"1,561 €","45,269 €"
Pārdošanā dzīvoklis iespaidīgā daudzdzīvokļu mūra namā – vēsturi,Brivibas 138,3,72,6/6,Pre-war house,"1,559 €","112,220 €"
Piedāvājam iegādei labiekārtotu 2 istabu dzīvokli pašā Rīgas cen,Brivibas 46,2,63,3/6,Recon.,"4,048 €","255,000 €"
Piedāvājumā jaunizveidots dzīvoklis kvalitatīvā pirmskara mūra ē,Brivibas 138,2,36,3/6,Pre-war house,"1,934 €","69,615 €"
Reta iespēja iegādei Elizabetes ielā 67 – stilīgs dzīvoklis vēst,Elizabetes 67,3,55,4/5,Pre-war house,"2,998 €","164,900 €"
Projekts ar vēsturisku eleganci un izcilu lokāciju pilsētas aktī,Brivibas 138,4,97,5/3,Pre-war house,"1,497 €","145,200 €"
Piedāvājumā jaunizveidots dzīvoklis kvalitatīvā pirmskara mūra ē,Brivibas 138,2,36,5/6,Pre-war house,"1,945 €","70,005 €"
Pārdošanā dzīvoklis klusā pagalma ēkā ar savu pagalma daļu un at,Lienes 9,2,44,1/5,Pre-war house,"1,909 €","84,000 €"
Autonoma gāzes apkure. Logi Lāčplēša ielas un pagalma virzienā.,Lachplesha 72,3,58,2/2,Pre-war house,"1,198 €","69,500 €"
Pārdod trīsistabu dzīvokli 1909.gadā būvētā (arhitekts Konstantī,Rupniecibas 9,3,95,6/6,Pre-war house,"2,842 €","270,000 €"
Gaumīgs divstāvu dzīvoklis renovētā namā stilīgākajā Rīgas centr,Alauksta 7,2,33,2/2,Recon.,"4,242 €","140,000 €"
"Pārdošanā plašs un mājīgs 5 istabu dzīvoklis (150, 9 m²), kas at",Valdemara 39,5,151,3/6,Pre-war house,"1,652 €","249,500 €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Lāčplēša ielā 53. Dzīvokl",Lachplesha 53,2,37,3/5,Recon.,"3,419 €","126,500 €"
"Kompakts un funkcionāls 3 istabu dzīvoklis Rīgas centrā, Krišjāņ",Valdemara 123,3,55,1/6,Pre-war house,"1,809 €","99,500 €"
Penthouse/mansarda dzīvoklis no attīstītāja Pulkveža Brieža ielā,Pulkv. Briezha 15,3,70,7/7,Recon.,"3,004 €","210,300 €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 14 prestižajā,Pulkv. Briezha 15,2,48,2/7,Recon.,"3,187 €","152,960 €"
Attīstītājs piedāvā iegādāties četru istabu dzīvokli jaunajā pro,Skolas 17,4,86,2/7,New,"3,434 €","295,320 €"
Īpašnieks pārdod gaišu un saulainu 4-istabu dzīvokli (dzīvokļa ī,Artilerijas 66,4,64,3/5,Pre-war house,"1,858 €","118,900 €"
"Кluss 3 istabu dzīvoklis pašā Rīgas centrā . Ieeja no pagalma ,",Raina boul. 3,3,50,2/6,Recon.,"3,200 €","160,000 €"
"Продам студию 35 кВ м в центре Риги. Дом находится во дворе, тих",Terbatas 26-a,1,35,3/5,Recon.,"2,914 €","102,000 €"
Pārdošanā tiek piedāvāts praktisks un mājīgs 2 istabu dzīvoklis,Chaka 49,2,57,1/6,Pre-war house,"1,746 €","99,500 €"
Ziemas dārzs un plaša privātā terase pašā Rīgas centrā virs slav,Baznicas 27/29,5,202,2/5,Recon.,"4,455 €","900,000 €"
Vienistabas dzīvoklis Rīgas centrā tikai par 25 000 Eur – invest,Matisa 95,1,19,2/2,Pre-war house,"1,316 €","25,000 €"
"Pārdodu divistabu dzīvokli, 54 kv. m, pēc specprojekta 1959.gadā",Valdemara 147/1,2,54,5/5,Spec. pr.,"1,981 €","107,000 €"
"Tiek pārdots perspektīvs bēniņu attīstības objekts Rīgas centrā,",Tallinas 90A,6,230,6/6,Recon.,430 €,"99,000 €"
"Tiek piedāvātas telpas 53, 5 m² platībā ēkas pirmajā stāvā ar ti",Jezusbaznicas 7,1,54,1/2,Pre-war house,704 €,"38,000 €"
"Aiz vēsturiskās jūgendstila fasādes slēpjas tas, ko mūsdienās va",Blaumana 36,4,184,3/5,Pre-war house,"2,349 €","432,180 €"
Tiek pārdots 2 istabu dzīvoklis Rīgas centrā – Tallinas ielā 57B,Tallinas 57b,2,40,2/2,Pre-war house,870 €,"34,800 €"
Pārdod plašu dzīvokli Vecrīgā modernā mājā ar liftu. Dzīvoklis i,Kaleju 74,2,60,5/7,New,"3,083 €","185,000 €"
Pārdošanā plašs 2-istabu dzīvoklis kvalitatīvā pirmskara mūra ēk,Brivibas 138,2,51,1/6,Pre-war house,"1,214 €","61,920 €"
Pārdošanā ļoti gaišs un plašs 3-istabu dzīvoklis kvalitatīvā pir,Brivibas 138,3,84,5/6,Pre-war house,"1,544 €","129,735 €"
"Iegādei pieejams mēbelēts, ar sadzīves tehniku aprīkots studijas",Pulkv. Briezha 10,1,23,4/7,New,"3,774 €","86,802 €"
Pārdošanā plašs 4-istabu dzīvoklis ar 2 atsevišķām ieejamām kval,Brivibas 138,4,100,3/6,Pre-war house,"1,493 €","149,250 €"
Pārdošanā izcila plānojuma 3 istabu dzīvoklis Nr. 25 ar plašu ba,Duntes 34,3,73,5/7,New,"2,601 €","189,900 €"
Pārdošanā plašs 3-istabu dzīvoklis kvalitatīvā pirmskara mūra ēk,Brivibas 138,3,78,1/6,Pre-war house,"1,393 €","108,640 €"
Dzīve kultūras centrā Pārdošanā 2 istabu dzīvoklis 4. stāvā N,Miera 75,2,41,4/7,New,"3,949 €","161,900 €"
Dzīve kultūras centrā Pārdošanā 3 istabu dzīvoklis 6. stāvā N,Miera 75,3,82,6/7,New,"3,779 €","309,900 €"
Dzīve kultūras centrā Pārdošanā 4 istabu dzīvoklis 4. stāvā N,Miera 75,4,71,4/7,New,"3,618 €","256,900 €"
"Ekskluzīvs 3 istabu dzīvoklis ar panorāmas skatu uz Rīgu – 63, 8","Avotu 8k - 1,",3,64,6/6,Pre-war house,"2,469 €","158,000 €"
Pieejama reta pērle Rīgas vēsturiskajā centrā - septiņu istabu d,Terbatas 59/61,6,178,5/7,Pre-war house,"1,893 €","337,000 €"
Mēbelēts divlīmeņu dzīvoklis Hallo Loft projektā. Jauns dzīvok,Barona 69,2,38,2/3,Recon.,"3,287 €","124,900 €"
Pārdod daļēji remontētu trīs istabu dzīvoklis ar klusu pagalmu u,Hospitalu 5,3,80,3/6,Pre-war house,"1,875 €","150,000 €"
Pārdošanā ekskluzīvs 5 istabu dzīvoklis Nr. 44 ar lielu terasi 2,Duntes 34,5,164,7/7,New,"2,573 €","421,900 €"
"Piedāvājam 2 istabu dzīvokli ar platību 58, 6 kv. m. Rīgas cen",Birznieka-Upisha 1..,2,59,4/5,New,"3,051 €","180,000 €"
Pārdošanā izcils 2 istabu dzīvoklis Nr. 12 ar plašu balkonu 1. ē,Duntes 34,2,47,3/7,New,"2,764 €","129,900 €"
Pārdošanā lielisks 4 istabu dzīvoklis Nr. 18 ar plašu balkonu 2.,Duntes 34,4,104,3/7,New,"2,730 €","283,900 €"
Pārdošanā ekskluzīvs divu līmeņu 4 istabu dzīvoklis B18 ar plašu,Grostonas 9A,4,102,6/8,New,"4,215 €","429,900 €"
Pārdošanā lielisks 3 istabu dzīvoklis A45 ar balkonu dienvid-rie,Grostonas 9A,3,69,4/8,New,"4,709 €","324,900 €"
"Pārdošanā neliels un praktisks vienas istabas dzīvoklis Rīgā, Va",Valmieras 32,1,24,1/2,Pre-war house,800 €,"19,200 €"
Pārdošanā kompakts 2 istabu dzīvoklis B7 ar 5 lieliem logiem un,Grostonas 9B,2,44,3/8,New,"3,793 €","166,900 €"
"Piedāvājam unikālu iespēju iegādāties 3-istabu dzīvokli, kas atr",Chaka 26,3,79,4/7,Recon.,"2,785 €","220,000 €"
Unikāla iespēja iegādāties īpašumu pašā Rīgas sirdī – prestižajā,Blaumana 20,3,69,3/7,New,"4,319 €","298,000 €"
Saulains studio tipa dzīvoklis pašā pilsētas centrā. Elegants,Marijas 14A,1,19,6/6,Pre-war house,"3,789 €","72,000 €"
"Tiek pārdots gaišs, saulains un mājīgs divistabu dzīvoklis lieli",Stabu 15,2,56,3/5,Pre-war house,"2,589 €","145,000 €"
Piedāvājumā jaunizveidots dzīvoklis kvalitatīvā pirmskara mūra ē,Brivibas 138,1,25,3/6,Pre-war house,"1,958 €","48,945 €"
"Pārdošanā četristabu dzīvoklis ar kopējo platību 60, 1 m² Bruņin",Bruninieku 20,4,60,2/6,Recon.,"2,550 €","153,000 €"
"Pārdošanā trīsistabu dzīvoklis ar kopējo platību 46, 2 m² Bruņin",Bruninieku 20,3,46,2/6,Recon.,"2,587 €","119,000 €"
"Pārdošanā nonācis gaumīgs, moderns dzīvoklis ar 2 izolētām istab",13. janvara 30,2,48,5/6,Stalin project,"3,104 €","149,000 €"
Lv Māksliniecisks divu līmeņu dzīvoklis mansarda stāvā. Plā,Gertrudes 113,2,44,6/7,Pre-war house,"1,999 €","87,950 €"
Ekskluzīvs Micro-Living apartaments Rīgas centrā – Gatavs biznes,Klijanu 6,1,10,4/9,New,"2,090 €","20,900 €"
Pārdošanā stilīgs mansarda tipa dzīvoklis renovētā mājā. Dzīvo,Klusa 16,2,47,5/5,Recon.,979 €,"46,000 €"
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi , p",J. Dalina 8,4,227,19/24,New,"3,040 €","690,000 €"
Pārdošanā elegants divistabu dzīvoklis renovētā vēsturiskā ēkā R,Brivibas 68,2,45,2/6,Recon.,"3,531 €","158,900 €"
Elegant Penthouse Residence in the Quiet Centre – Ausekļa 14.,Ausekla 14,4,241,6/6,New,"6,556 €","1,580,000 €"
"Piedāvājam pārdošanai 2-istabu dzīvokli jaunajā projektā ""Ģertrū",Gertrudes 65,2,56,3/6,New,"2,874 €","160,950 €"
Dzīvoklis pašā centrā gaida savu jauno īpašnieku. No šī dzīvokļa,Brivibas 148,3,99,2/6,Pre-war house,"1,202 €","119,000 €"
"Ekonomisks un ērts studijas tipa dzīvoklis. + pirmskara ēka, k",Gertrudes 91A,1,15,2/5,Pre-war house,"1,767 €","26,500 €"
Divistabu dzīvoklis ar svaigu un gaumīgu remontu. Remontdarbu la,Artilerijas 66,2,42,2/2,Pre-war house,"1,762 €","74,000 €"
Dzīvoklis Grīziņkalnā – lieliskā vietā ar visu nepieciešamo infr,Alauksta 9,4,98,1/6,New,"2,245 €","220,000 €"
"Divlīmeņu dzīvoklis renovētā mājā, kura atrodas pašā Rīgas centr",Raina boul. 19,4,144,6/6,Recon.,"2,736 €","394,000 €"
"Divu līmeņu dzīvoklis ar lielu griestu augstumu, panorāmas skatu",Sadovnikova 29A,5,134,5/6,Recon.,"2,209 €","296,000 €"
"Plašs un gaišs 4 istabu dzīvoklis Rīgas centrā, renovētā un labi",Gertrudes 77,4,112,3/5,Recon.,"2,223 €","249,000 €"
Projekta attīstītājs un īpašnieks – kompāniju grupa R. Evolution,Strelnieku 8,3,224,2/7,New,"1,973 €","442,000 €"
"Kompāniju grupa R. Evolution, projekta attīstītājs un īpašnieks,",Strelnieku 5,3,108,3/7,New,"4,722 €","510,000 €"
Dzīve virs Skanstes zaļās zonas 110 m² dzīvoklis 8. stāvā ar pla,Grostonas 21,4,110,8/10,New,"3,136 €","345,000 €"
"Rīgas centrā dzīvokļu piedāvājums ir plašs, taču tikai daži apvi",Brivibas 46,2,73,3/6,Recon.,"3,356 €","245,000 €"
Piedāvājam jaunu un elegantu dzīvokli renovētā ēkā pašā Rīgas ce,Raina boul. 27,2,45,2/6,Recon.,"5,556 €","250,000 €"
Pārdot mēbelētu 3-istabu dzīvokli renovētā ēkā ar remontētu kāpņ,Terbatas 33,3,77,6/6,Recon.,"3,026 €","233,000 €"
"Tiek pārdots saulains 2-istabu dzīvoklis Rīgas centrā, klusā vie",Indranu 2,2,46,3/5,103-th,"1,848 €","85,000 €"
Продаётся просторная и светлая трёхкомнатная квартира с полность,Valdemara 106,3,90,5/7,Stalin project,"2,444 €","220,000 €"
Attīstītājs pārdod 4 istabu dzīvokli renovētā A klases energoefe,Dagdas 4,4,98,2/4,Recon.,"2,551 €","250,000 €"
Pārdod stilīgu un mūsdienīgu četristabu dzīvokli Rīgas centrā –,Birznieka-Upisha 1..,4,83,5/5,Recon.,"2,952 €","245,000 €"
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi dzī",J. Dalina 8,4,227,19/24,New,"3,040 €","690,000 €"
"Lv: Tiek pārdots mājīgs vienistabas dzīvoklis 38, 5 m² platībā,","Mastu 8, k-1",1,39,3/5,Recon.,"1,667 €","65,000 €"
Tiek pārdots kvalitatīvi renovēts 4 istabu dzīvoklis Skolas ielā,Skolas 22a,4,114,5/6,Pre-war house,"2,800 €","319,240 €"
Grezns dzīvoklis ar balkonu un panorāmas skatu uz pilsētas kanāl,Meierovics boul. 4,3,146,4/6,Pre-war house,"2,466 €","360,000 €"
Pārdošanā elegants un plašs 3–4 istabu dzīvoklis vienā no presti,Elizabetes 12,4,124,5/5,Recon.,"3,210 €","398,000 €"
Investīciju objekts Rīgas centrā – 2 mansarda dzīvokļi. Pied,Barona 70,5,81,3/3,Pre-war house,"1,481 €","120,000 €"
Mansarda dzīvoklis Rīgas aktīvajā centrā. Piedāvājam iegādāt,Barona 70,2,40,3/3,Pre-war house,"1,500 €","60,000 €"
"Ja meklējat dzīvokli ar lielu potenciālu, šis piedāvājums ir dom",Mīlenbaha 2,3,85,4/5,Pre-war house,"1,175 €","99,900 €"
"Tiek piedāvāts plašs 6 istabu dzīvoklis pilsētas centrā, kas šob",Dagdas 4,6,121,3/5,Recon.,"1,446 €","175,000 €"
Pārdošu bez starpniekim. pašā Rīgas centrā: Dzīvoklis ar divā,Merkela 6,6,147,2/5,Pre-war house,"1,939 €","285,000 €"
Piedāvājumā elegants un funkcionāli plānots 4 istabu dzīvoklis v,Birznieka-Upisha 1..,4,111,5/7,New,"2,532 €","281,000 €"
"Pārdodu plašu un koptu 3 istabu dzīvokli Rīgas centrā, Avotu iel",Avotu 52,3,71,3/4,Pre-war house,"1,739 €","123,500 €"
Pārdod mājīgu studio tipa dzīvokli renovētā ēkā. Dzīvoklī ir,Marijas 14,1,19,6/6,Recon.,"3,679 €","69,900 €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,Sadovnikova 30,2,45,3/5,Recon.,"2,413 €","108,600 €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,Sadovnikova 30,2,30,3/5,Recon.,"2,443 €","73,300 €"
"Dzīvokļi ar pilnu apdari renovētā ēkā, Grīziņkalnā. Dzīvojiet",Zvaigzhnu 21,1,22,4/6,Recon.,"2,356 €","51,840 €"
Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36. Ēka,Lachplesha 36,2,44,2/5,Recon.,"3,466 €","152,490 €"
"Ekskluzīvs dzīvoklis Rīgas sirdī – projektā ""Raiņa nams"" Tie",Raina boul. 27,1,21,1/5,Recon.,"4,754 €","99,840 €"
Attīstītājs pārdod penthouse tipa dzīvokli Nr. 14 ir ar plašu pa,Skolas 17,3,169,7/7,New,"3,831 €","647,500 €"
Pārdošana četru istabu dzīvoklis centrā. Dzīvoklis labā stāvoklī,Birznieka-Upisha 2..,4,102,2/5,Recon.,"1,961 €","200,000 €"
Renovēta mājā 2 istabu dzīvoklis ar plašu halli Rīgas centrā.,Lachplesha 116,2,53,5/6,Recon.,"1,575 €","83,500 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",Vashingtona pl. 2,2,42,2/5,Recon.,"3,217 €","135,117 €"
Pārdod 3 istabu dzīvokli Skanstes mājās – mūsdienīgs īpašums Rīg,Grostonas 19,3,88,5/10,New,"3,409 €","300,000 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",Vashingtona pl. 2,3,90,3/5,Recon.,"3,948 €","355,354 €"
Pārdod plašu 4 istabu dzīvokli Rīgas centrā – Blaumaņa iela 21,Blaumana 21,4,139,6/6,Pre-war house,"1,547 €","215,000 €"
"Jauna cena. Labdien. Piedāvājam divus dzīvokļus vienā, labi uztu",Avotu 3,4,117,2/5,Pre-war house,"1,496 €","175,000 €"
Iegādei tiek piedāvāts 2 istabu dzīvoklis pilnībā rekonstruētā k,Murnieku 12,2,41,1/2,Recon.,"2,470 €","101,250 €"
Piedāvājumā 1-istabas dzīvoklis ar plašu guļamistabu Rīgas centr,Gertrudes 43,1,33,4/5,Pre-war house,"2,394 €","79,000 €"
Piedāvājumā gaišs un mājīgs 3 istabu dzīvoklis 4. stāvā ēkā ar l,Valdemara 106,3,90,4/8,Stalin project,"2,078 €","187,000 €"
Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36. Ēka,Lachplesha 36,2,34,1/5,New,"3,311 €","112,560 €"
Pārdod 2 istabu dzīvokli Pulkveža Brieža ielā 15. Dzīvoklis atro,Pulkv. Briezha 15,2,37,3/7,Recon.,"2,919 €","108,000 €"
"Pārdod funkcionālu studio tipa dzīvokli Klusajā centrā, pie Andr",Eksporta 4,1,42,1/5,Pre-war house,"1,167 €","49,000 €"
Piedāvājumā 3 istabu dzīvokli (divas izolētas istabas) Rīgas cen,Gertrudes 43,3,71,4/5,Pre-war house,"2,324 €","165,000 €"
"Plašums, gaisma un miera sajūta Alauksta ielā 9. Pārdošanā pl",Alauksta 9,2,69,2/6,New,"2,028 €","139,900 €"
Attīstītājs tirgo pilnībā ar mēbelēm aprīkotu un ar sadzīves teh,Alauksta 7,2,33,1/2,Recon.,"4,242 €","140,000 €"
Īpašnieks pārdod lielisku dzīvokli izdevīgā atrašanās vietā – mā,Gertrudes 22,5,203,5/6,Pre-war house,"1,576 €","320,000 €"
Mansarda tipa 6 - istabu dzīvoklis ar savu privātu torni un 360,Terbatas 93/95,6,224,6/6,Stalin project,"1,330 €","298,000 €"
Dzīvoklis ar vēsturisku šarmu. Dzīvoklis fasādes mājā ar logiem,Kalnina 8,6,220,2/5,Pre-war house,"1,318 €","290,000 €"
"Kluss, saulains 2 - istabu dzīvoklis Nr. 41. Pēc remonta būs pie",Chaka 133,2,46,2/6,Pre-war house,"1,380 €","63,488 €"
2 istabu dzīvoklis Rīgas centrā ar autostāvvietu. Dzīvoklis,Stabu 49,2,34,5/5,Pre-war house,"2,500 €","85,000 €"
Piedāvājumā 3 istabu dzīvoklis Rīgas centrā. Dzīvoklis ir pl,Valdemara 72A,3,59,2/5,Chrusch.,"1,864 €","110,000 €"
Jūsu uzmanībai stilīgs 3 istabu dzīvoklis pilsētas centrā pēc ka,Lugazhu 6,3,62,4/5,Lit pr.,"1,565 €","97,000 €"
Pārdošanā ir kompakts divu istabas dzīvoklis un lielisks investī,Miera 103,2,49,1/5,New,"3,010 €","147,500 €"
Pārdod plašu un gaišu 8 istabu dzīvokli Rīgas centrā. Dzīvokli,Brivibas 100c,Other,176,2/2,Recon.,966 €,"170,000 €"
Pārdod skaistu un plašu 3 istabu istabu dzīvokli pašā Rīgas cent,Skolas 20,3,98,6/7,Recon.,"3,571 €","350,000 €"
Pārdod plašu 6 istabu dzīvokli Rīgas centrā. Dzīvoklis atrodas,Brivibas 100c,6,124,1/2,Recon.,927 €,"115,000 €"
Ekonomisks dzīvoklis pirmskara mūra mājā par ļoti labu cenu. Ska,Chaka 133,2,46,2/6,Pre-war house,"1,380 €","63,500 €"
Neliels Māksliniecisks Studio pašā centrā ielas mājā. Pelnošs,Skolas 22,1,17,4/4,Pre-war house,"3,088 €","52,500 €"
Дом 1910 года постройки от архитектора Эрнеста Поле (к слову око,Stabu 6,6,126,1/6,Pre-war house,"1,048 €","132,000 €"
"Квартира 13- для тех, кто верит не в приметы, а в выгодные возмо",Stabu 6,2,66,2/6,Pre-war house,"1,364 €","90,000 €"
Īpašnieks pārdod dzīvokli centrā ar visām ērtībām. Māja nesen re,Murnieku 14,1,20,1/2,Recon.,"1,750 €","35,000 €"
"Auto stāvvieta (P)- automašīnai slēgtā pagalmā, iezīmētā vietā.",Deglava 42,1,25,2/2,Pre-war house,"1,984 €","49,600 €"
"Slēgta, labiekārtota noliktavas telpa pašā Rīgas centrā. Par",Merkela 7,1,10,1/5,Recon.,"1,300 €","13,000 €"
"Pārdod patīkamu un plašu 4 istabu dzīvokli Skolas ielā, Rīgas ce",Skolas 22a,4,110,3/6,Pre-war house,"2,500 €","275,000 €"
Pārdod plašu un gaišu 4 istabu dzīvokli mūsdienīgā 2018. gadā bū,Chaka 134,4,96,3/6,New,"2,490 €","239,000 €"
Pārdod Divstāvu Penthaus 6. UN 7. Stāvā 138 m² + 122 m² Terase,Chaka 134,5,260,7/7,New,"1,462 €","380,000 €"
"Dzīvoklim ir pārdomāts un funkcionāls plānojums, kas nodrošina ē",Grostonas 21,4,110,8/10,New,"3,136 €","345,000 €"
Skaists mēbelēts dzīvoklis ar ērtu plānojumu centrālā lokācijā:,Dzirnavu 115,2,47,4/4,Pre-war house,"2,755 €","129,500 €"
Pārdodam mājīgu divistabu dzīvokli ar savu slēgtu teritoriju. Li,Matisa 84,2,25,1/2,Pre-war house,756 €,"18,900 €"
"Studio tipa investīciju dzīvoklis Marijas ielā 8B, iekšpagalma ē",Marijas 8B,1,21,3/3,Pre-war house,"4,219 €","88,600 €"
38 + 33 m2 = Pārdodu Kapitāli remontētu dzīvokli + komerciālās t,Avotu 66A,3,71,1/5,Recon.,"1,563 €","111,000 €"
