description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Pārdod dzīvokli jaunajā dzīvojamajā projektā, Rīgas centrā, Daug",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcilhf.html,Krasta 1,1,28,3/3,New,"2,881 €","80,655  €"
Patiesi autentisks dzīvoklis prestižā vietā - Rīgas klusajā cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpelc.html,Vilandes 5,3,73,4/5,Recon.,"2,288 €","167,000  €"
"Terase, izsmalcināta arhitektūra un mūsdienīgs komforts – šis 3",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpffx.html,Valdemara 41a,3,64,5/7,New,"4,000 €","256,000  €"
Pārdod loft stila dzīvokli 28 m² pilsētas centrā. Īpašums ir per,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjldn.html,Birznieka-Upisha 2..,1,28,4/6,New,"3,679 €","103,000  €"
"Rīgas centra jaunajā projektā “Tērbatas dārzs”, kas atrodas Tērb",https://www.ss.com/msg/en/real-estate/flats/riga/centre/begoef.html,Terbatas 78A,3,79,6/7,New,"4,076 €","322,000  €"
Lielisks dzīvoklis pašā pilsētas centrā. Tas atrodas fasādes māj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gjodj.html,Dzirnavu 55,5,135,2/4,Pre-war house,"2,000 €","270,000  €"
"Pārdod plašas un funkcionālas telpas Rīgas centrā, kas šobrīd re",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aechh.html,Cesu 41 k-2,3,75,1/3,Pre-war house,580 €,"43,500  €"
"Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36.

Ēka",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chccp.html,Lachplesha 36,3,69,5/5,Recon.,"3,783 €","261,060  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahhxi.html,Sadovnikova 30,2,29,2/5,Recon.,"2,441 €","70,800  €"
"Pārdošanā ir nonācis skaists, gaišs 2-istabu dzīvoklis Rīgas cen",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dpied.html,Stabu 33,2,47,2/2,Recon.,"1,809 €","85,000  €"
"Skanstes Virsotnes projektā, Skanstes ielā 29A, piedāvājumā gaiš",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcipdm.html,Skanstes 29a,2,67,11/24,New,"2,657 €","178,000  €"
"Pārdošanā elegants 3 istabu dzīvoklis Ausekļa ielā 3, vēsturiska",https://www.ss.com/msg/en/real-estate/flats/riga/centre/beglii.html,Ausekla 3,3,72,1/5,Pre-war house,"2,292 €","165,000  €"
Elegants 3-istabu dzīvoklis ar saunu pie Viesturdārza - Klusais,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bgfjb.html,Rupniecibas 21,3,94,2/7,New,"3,138 €","295,000  €"
"Piedāvājam skaistu 2 istabu dzīvokli ar terasi Rīgas centrā. 
D",https://www.ss.com/msg/en/real-estate/flats/riga/centre/algxi.html,Pulkv. Briezha 21,2,72,3/7,New,"3,347 €","241,000  €"
Attīstītājs piedāvā iegādāties dzīvokli 1912. gadā celtā pirmska,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afmhc.html,Brivibas 190,1,29,4/6,Recon.,"1,612 €","46,746  €"
"Kluss, gaišs un saulains dzīvoklis Stabu ielā. 

Dzīvoklī ir 4",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hcmbk.html,Stabu 62a,4,109,3/5,Pre-war house,"2,018 €","220,000  €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,https://www.ss.com/msg/en/real-estate/flats/riga/centre/apchl.html,Strelnieku 5,3,139,5/7,New,"4,194 €","583,000  €"
"Dzīvoklis kā privātmāja Rīgas centrā, rajonā starp veco jūgensti",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cbojk.html,Lenсu 1,5,162,3/3,Pre-war house,"1,883 €","305,000 €"
"Gaišs 1-istabas dzīvoklis izcilā vietā Rīgas centrā. 

Par īpa",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedxdg.html,J. Dalina 2,1,30,1/5,Chrusch.,"1,167 €","35,000  €"
