description,url,District,R.,m²,Floor,Series,Price
"Tiek pārdots vienistabas studio tipa dzīvoklis. Tualete, vanna d",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bcicbo.html,Latgales priekshpilset Latgales 125,1,26,1/2,Pre-war house,"24,700  €"
"Pārdošanā dzīvoklis perspektīvā vietā Rīgas centrā, Lastādijā, E",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ejkpi.html,Centre Elijas 14,1,35,2/5,Pre-war house,"35,500 €"
"Dzīvoklis blakus Mežaparkam. 

Attīstītājs One Development pie",https://www.ss.com/msg/en/real-estate/flats/riga/aplokciems/bnbkei.html,Aplokciems Chiekuru 3,4,130,4/4,New,"275,000  €"
"Divu istabu dzīvoklis Premium Klases ēkā, 5.stāvā. 

""One Deve",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cpmxk.html,Centre Marijas 4,2,33,5/5,Recon.,"129,480  €"
"Pārdod 3 istabu dzīvokli jaunajā projektā ""Meira Garden"" Mežapar",https://www.ss.com/msg/en/real-estate/flats/riga/aplokciems/bnddml.html,Aplokciems Mores 28,3,76,2/3,New,"197,500  €"
Tiek pārdots mansarda dzīvoklis vienā no retajiem Āgenskalna mūr,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/beiljn.html,Agenskalns Margrietas 16,3,108,3/3,Recon.,"169,500  €"
"Pārdod dzīvokli jaunajā projektā ""Meira Garden"" Mežaparka zaļajā",https://www.ss.com/msg/en/real-estate/flats/riga/aplokciems/bnjlfd.html,Aplokciems Mores 28,2,51,2/3,New,"137,800  €"
Gaumīgs divstāvu dzīvoklis renovētā namā stilīgākajā Rīgas centr,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcnjfi.html,Centre Alauksta 7,2,36,2/2,Recon.,"115,000  €"
"Dzīvoklis parkā, Pārdaugavā, maz zināmā, bet patiesi unikālā vie",https://www.ss.com/msg/en/real-estate/flats/riga/bierini/dkcix.html,Bierini Gimnastikas X,4,125,1/4,New,"215,000  €"
Pārdodam dzīvokli labi uzturētā mūra mājā tuvu centram. Dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/afehp.html,Latgales priekshpilset Daugavpils 49,1,32,1/5,Pre-war house,"19,800  €"
"Īpašnieks pārdod 3 istabu dzīvokli (2 guļamistabas, 2 sanmezgli)",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdjxp.html,Centre Blaumana 11/13,3,81,2/5,Pre-war house,"253,000  €"
"Pārdošanā- silts un saulains 2- istabu dzīvoklis , mūra mājas, o",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/fcdjn.html,Latgales priekshpilset Daugavpils 76,2,44,2/5,Pre-war house,"65,000  €"
Pārdod gaišu un saulainu 33 m² dzīvokli Rīgas centrā ar ērtu un,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhdgb.html,Centre Zvaigzhnu 26,1,33,2/5,Spec. pr.,"55,000  €"
"Dzīvokļi ar pilnu apdari renovētā ēkā, Grīziņkalnā. 
Dzīvojiet",https://www.ss.com/msg/en/real-estate/flats/riga/grizinkalns/cgibdg.html,Grizinkalns Zvaigzhnu 21,1,23,5/6,Recon.,"54,720  €"
"Pārdod plašu 4 istabu dzīvokli klusajā centrā, šogad tiks renovē",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclfjk.html,Centre Petersalas 17,4,80,2/2,Pre-war house,"49,500  €"
Pārdod perspektīvu dzīvokli izdevīgā lokācijā Iļģuciemā ar zemie,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/fggjh.html,Ilguciems Slokas 75,1,29,2/2,Pre-war house,"33,500  €"
Piedāvājam pārdošanai 3-istabas dzīvokli lietuviešu projektā.,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/eedxm.html,Kengarags Latgales 254k-3,3,61,1/5,Lit pr.,"61,800  €"
"Pārdošanā brīnišķīgs, moderns un gaišs 4 istabu dzīvoklis energo",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/bcenk.html,Imanta Jurmalas g. 74a,4,84,3/3,New,"273,000  €"
Pārdod gaišu un gaumīgi renovētu dzīvokli 1910. gadā celtā jūgen,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bclphx.html,Latgales priekshpilset Daugavpils 48,1,34,4/5,Pre-war house,"42,000  €"
"Projekts nodots ekspluatācijā, 2/3 ēkas jau ir izpārdota un pali",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/gmjni.html,Plyavnieki Rembates 10,1,33,7/10,New,"74,500  €"
Projekts nodots ekspluatācijā; 2/3 ēkas jau ir pārdota un piedāv,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/adjph.html,Plyavnieki Rembates 10,2,52,9/10,New,"109,750  €"
"Projekts nodots ekspluatācijā, 2/3 ēkas jau ir izpārdota un pali",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/ddklg.html,Plyavnieki Rembates 10,4,95,8/10,New,"209,000  €"
"Projekts nodots ekspluatācijā, 2/3 ēkas jau ir izpārdota un pali",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/glepj.html,Plyavnieki Rembates 10,3,77,8/10,New,"160,250  €"
Rīgas klusajā centrā plašs 3 istabu dzīvoklis par izdevīgu cenu.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dchcm.html,Centre Zala 7,3,99,2/3,Pre-war house,"150,000  €"
Attīstītājs piedāvā iegādāties dzīvokli unikālā ēkā vēstures un,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dmpen.html,Agenskalns Kristapa 2,3,81,1/2,Recon.,"229,870  €"
Piedāvājumā plašs un gaišs 2-istabu dzīvoklis jūgendstila pirmsk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bckfhe.html,Centre Blaumana 36,2,77,3/5,Pre-war house,"215,350  €"
Projekts nodots ekspluatācijā un palikuši pēdējie dzīvokļi. Iesp,https://www.ss.com/msg/en/real-estate/flats/riga/darzciems/befgnf.html,Darzciems Rumbulas 14,2,49,2/5,New,"119,000  €"
Projekts nodots ekspluatācijā un palikuši pēdējie dzīvokļi. Iesp,https://www.ss.com/msg/en/real-estate/flats/riga/darzciems/ifbhm.html,Darzciems Rumbulas 14,3,60,5/5,New,"156,000  €"
Pārdod gaišu un saulainu trīs istabu dzīvokli 80.3m3 platībā. Gr,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adixx.html,Centre Darzauglu 1,3,80,5/7,New,"179,000  €"
"Tikko remontēts dzīvoklis
Pārdod 3 - istabu dzīvokli ar augstas",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/ahlcb.html,Latgales priekshpilset Jersikas 18,3,43,2/5,Recon.,"111,800  €"
"Tikko remontēts dzīvoklis
Pārdod 3 - istabu dzīvokli ar augstas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/eikjx.html,Centre Latgales 109,3,43,2/5,Recon.,"111,800  €"
Plašs un elegants 4 istabu dzīvoklis Stabu ielā – Rīgas centrā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ecpod.html,Centre Stabu 60,4,116,4/5,Recon.,"210,000  €"
"Dzīvokļa priekšrocības:

pārdomāts un ērts plānojums;
gaišas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ehfgp.html,Centre Klijanu 12,2,40,3/3,New,"85,000  €"
Pārdodam ekskluzīvu 3 istabu dzīvokli ar saskaņotu pārplānojumu.,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/epiee.html,Purvciems Ilukstes 103,3,83,5/5,103-th,"95,000  €"
Iegādei pieejams kompakts divu istabu dzīvoklis jaunajā projektā,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bfbkhc.html,Plyavnieki Kupricu 3C,2,50,6/6,New,"132,000  €"
Pārdošanā plašs dzīvoklis Stokholmashaus 26 – privātā kluba tipa,https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/lcbgm.html,Mezhapark Stokholmas 26,4,98,1/2,Recon.,"469,440  €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 3-is",https://www.ss.com/msg/en/real-estate/flats/riga/centre/beknmh.html,Centre Skanstes 12,3,79,1/12,New,"229,200 €"
"Pārdošanā gaišs un saulains dzīvoklis Grīziņkalnā. 

Dzīvokļi",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fehmc.html,Centre Zvaigzhnu 21,1,22,4/5,Pre-war house,"30,100  €"
Pārdošanā jauns studio tipa dzīvoklis Stokholmashaus 26 – privāt,https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/bffxcn.html,Mezhapark Stokholmas 26,1,36,1/2,Recon.,"162,900  €"
Gaišs un mājīgs 1-istabas dzīvoklis Pļavniekos Ulbrokas iela 18.,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/conmd.html,Plyavnieki Ulbrokas 18,1,32,9/9,602-th,"40,000 €"
"Pārdošanā jauns, pilnībā mēbelēts 3-istabu dzīvoklis 83, 7 m² pl",https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/bcmnln.html,Mezhapark Stokholmas 26,3,84,2/2,Recon.,"393,390  €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 5-is",https://www.ss.com/msg/en/real-estate/flats/riga/centre/benihx.html,Centre Skanstes 12,5,105,2/12,New,"319,400 €"
Pieejams skaists un kvalitatīvs 2 istabu dzīvoklis ar savu teras,https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bpggc.html,Shampeteris-Pleskodale Apuzes 51A,2,58,1/3,New,"137,500  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bkblom.html,Latgales priekshpilset Daugavpils 12,1,20,2/5,Recon.,"47,800  €"
"Pārdošanā jauns, pilnībā mēbelēts 3-istabu dzīvoklis 59, 8 m² pl",https://www.ss.com/msg/en/real-estate/flats/riga/mezhapark/kphof.html,Mezhapark Stokholmas 26,3,60,2/2,Recon.,"281,060  €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 4-is",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclfgf.html,Centre Skanstes 12,4,99,2/12,New,"278,100 €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 2-is",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajogh.html,Centre Skanstes 6,2,53,1/12,New,"160,700 €"
"Pārdod 2 istabu dzīvokli Rīgas centrā. 
Dzīvokļa kopējā platība",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddxcf.html,Centre Stabu 104,2,49,3/5,Lit pr.,"79,500  €"
"Pārdošanā pieejamas 159, 7 m² plašas un gaišas telpas vienā no R",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjeji.html,Centre Vilandes 12,4,160,1/6,Pre-war house,"304,000  €"
"Trīs istabu dzīvoklis jaunā projektā Rīgas centrā. 
Unikāla ies",https://www.ss.com/msg/en/real-estate/flats/riga/centre/clbci.html,Centre Dzirnavu 85,3,59,2/7,New,"236,900  €"
"Pārdod saulainu, gaišu, plašu 3 istabu, pilnībā mēbelētu, ērta p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dmmgi.html,Centre Tomsona 30,3,122,2/10,New,"350,000  €"
Pārdošanā pēdējais pieejamais dzīvoklis šajā renovētajā ēkā – 2,https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/cflcxg.html,Latgales priekshpilset Katolu 9,2,43,5/5,Recon.,"70,785  €"
Pārdod mājīgu 2 istabu dzīvokli Ķengaraga centrā ar skatu uz upi,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/fnbid.html,Kengarags Latgales 287,2,45,10/12,Czech pr.,"50,000  €"
"Iegādei pieejams mājīgs trīs istabu dzīvoklis jaunajā projektā """,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/apgxo.html,Plyavnieki Kupricu 3B,3,96,1/6,New,"198,200  €"
Продается 3-х комнатная квартира в реновированном доме. Чистый п,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/gjmbn.html,Agenskalns Melnsila 28,3,59,5/5,Chrusch.,"80,000  €"
Gaišs un silts divistabu dzīvoklis ar kopējo platību 55 m² labā,https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/aglkx.html,Ziepniekkalns Ozolciema 14/1,2,55,5/10,119-th,"93,500  €"
"Jauns dzīvojamās ēkas projekts Vecmīlgrāvī, Martas Rinkas ielā–z",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/binmko.html,Vecmilgravis Rinkas 12,1,40,1/6,New,"64,640  €"
"Piedāvājam iegādāties elegantu 4 istabu dzīvokli Rīgas centrā, B",https://www.ss.com/msg/en/real-estate/flats/riga/centre/agipb.html,Centre Brivibas 72,4,108,3/6,Pre-war house,"225,000  €"
"Ekskluzīvs četru istabu dzīvoklis Rīgas vēsturiskajā centrā. 
I",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedmgp.html,Centre Blaumana 20,4,108,2/7,New,"390,000  €"
Rīgas centrā tiek pārdots 2-istabu saulains un elegants dzīvokli,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bxfmj.html,Centre Brivibas 68,2,49,3/6,Recon.,"171,850  €"
"Tikko Pēc Kvalitatīva Remonta - Pārdodu divistabu dzīvokli, kas",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/cdojk.html,Imanta Anninmuizhas boulevard,2,50,4/5,Recon.,"105,000  €"
Pārdošanā plašs četristabu dzīvoklis renovētā mājā pašā Rīgas ce,https://www.ss.com/msg/en/real-estate/flats/riga/centre/apxbo.html,Centre Brivibas 110,4,122,2/6,Pre-war house,"207,000  €"
Продается уникальная четырехкомнатная квартира в районе частных,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/beboed.html,Kengarags Prushu 46,4,150,10/11,New,"249,900  €"
Pārdošanā silts un saulains trīsistabu dzīvoklis netālu no Skans,https://www.ss.com/msg/en/real-estate/flats/riga/centre/abxpo.html,Centre Zirnu 5 k-2,3,60,4/9,467-th,"114,000  €"
"Dzīvoklis projektā Ezerjugla ar lielisku plānojumu, augstvērtīgu",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/okhjg.html,Yugla Strazdumuizas 14,2,50,2/4,New,"126,520  €"
Pārdošanā mājīgs divistabu dzīvoklis ar nesen veiktu svaigu remo,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gxjng.html,Centre Chaka 121,2,54,6/6,Recon.,"75,000  €"
"Двухкомнатная квартира в Centra nams. 

Планировка:
- Простор",https://www.ss.com/msg/en/real-estate/flats/riga/centre/adbnk.html,Centre Republikas pl. 3,2,55,2/7,New,"179,990  €"
Pārdošanā gaišs un mājīgs dzīvoklis jaunajā projektā “Tomsona Te,https://www.ss.com/msg/en/real-estate/flats/riga/centre/agkkl.html,Centre Tomsona 30,4,105,3/9,New,"250,000  €"
"Продается 2-комнатная квартира площадью 45 м² на 4 этаже. 

Кв",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/chbnf.html,Purvciems Raunas 37,2,45,4/5,Chrusch.,"66,000  €"
"Piedāvājam iegādei divu guļamistabu dzīvokli ar skatu uz parku,",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/bcmceg.html,Latgales priekshpilset Katolu 9,3,46,2/7,Recon.,"107,865  €"
"Продается 2-комнатная квартира площадью 45 м² на 4 этаже. 

Кв",https://www.ss.com/msg/en/real-estate/flats/riga/teika/aehjm.html,Teika Raunas 37,2,45,4/5,Chrusch.,"66,000  €"
Attīstītājs piedāvā iegādāties plašu 3 istabu dzīvokli jaunajā p,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bckxbg.html,Centre Skolas 17,3,86,2/7,New,"295,320  €"
"Pārdodu 3 istabu dzīvokli tikko pēc kapitālā remonta, griestu au",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/behjnd.html,Sarkandaugava Aptiekas 17B,3,42,2/2,New,"84,900  €"
Pārdomāts 1 guļamistabas dzīvoklis Teikā. Saules gaismas piepild,https://www.ss.com/msg/en/real-estate/flats/riga/teika/beboph.html,Teika Palmu 7,1,47,4/9,Spec. pr.,"88,000  €"
"Pārdod. Labs īpašums īstermiņa īrei. 
Plašs trīs guļamistabu dz",https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/cgjgd.html,Vecriga Jekaba 26/28,3,101,4/4,Pre-war house,"290,000  €"
"Divlīmeņu dizaina dzīvoklis ar autostāvvietu. 

Īpašniece pārd",https://www.ss.com/msg/en/real-estate/flats/riga/teika/dlpll.html,Teika Brivibas g. 201 k3,2,56,3/5,New,"149,900  €"
"Tiek pārdots dzīvoklis mājas kompleksa ""Imantas Ozoli"". 

Dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/agdkm.html,Imanta Jurmalas g. 82,3,72,3/9,New,"185,000 €"
"Zems 1. stāvs. Siltas, sausas, gaišas zema 1. stāva (vai augsta",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cihep.html,Centre Chaka 133,2,44,1/6,Pre-war house,"25,492  €"
"Pārdod gaišu vienistabas dzīvokli. 
Ideāls piedāvājums, lai izv",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/gdxjb.html,Purvciems Dzelzavas 35k1,1,46,2/6,New,"83,000  €"
"Piedāvājam iegādei mēbelētu, jaunu, plašu 62 kvm. 2, 5-istabu dz",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/felmi.html,Agenskalns Kugu 15,2,62,2/3,Recon.,"190,000  €"
"Pārdod investīciju dzīvokli Marijas ielā 8B, iekšpagalma ēkā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclghi.html,Centre Marijas 8B,2,22,3/3,Pre-war house,"93,300  €"
"Pārdod 3 istabu dzīvokli Purvciemā ar lielisku potenciālu. 

D",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/fdlkj.html,Purvciems Pilu 4,3,60,1/5,Lit pr.,"58,000  €"
Pārdod pilnībā izremontētu 2 istabu dzīvokli renovētā mājā Rīgas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cphfc.html,Centre Krasotaju 13a,2,30,3/5,Recon.,"83,000  €"
"Trīs līmeņu, 4 istabu dzīvoklis ar saunu, mājas kinozāli un unik",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bexjho.html,Centre Brivibas 104,4,175,5/7,Spec. pr.,"245,000  €"
"Piedāvājam iegādei studio dzīvokli pēc kvalitatīva remonta, piln",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bhjoi.html,Centre Sadovnikova 39,1,27,7/7,Recon.,"67,830  €"
"Gaišs 2.stāva dzīvoklis pēc kvalitatīva remonta, pilnībā aprīkot",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddhfl.html,Centre Sadovnikova 39,2,42,2/7,Recon.,"100,320  €"
Pārdošanā ekskluzīvs un reprezentabls 3 istabu dzīvoklis pašā Ve,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bcjohj.html,Vecriga Shkunu 13,3,105,3/6,Pre-war house,"385,000  €"
"Pārdošanā plašs un gaišs 2-istabu dzīvoklis Tērbatas ielā. 

D",https://www.ss.com/msg/en/real-estate/flats/riga/centre/agoef.html,Centre Terbatas 59/61,2,65,3/7,Recon.,"177,200  €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aefif.html,Centre Strelnieku 5,4,118,2/7,New,"625,000  €"
"Saulains, ļoti silts dzīvoklis (čuguna radiatori) ar legalizētu",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/agkle.html,Kengarags Rushonu 42,2,41,5/5,Chrusch.,"39,888  €"
Pārdod elegantu izsmalcināta dizaina dzīvokli Alberta ielā 1 pil,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdhpf.html,Centre Alberta 1,6,209,5/5,Recon.,"745,000  €"
"Pārdod kapitāli izremontētu 3 istabu dzīvokli Mežciemā. 
 
 Pl",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/beghfh.html,Mezhciems Druvienas 18,3,63,5/9,602-th,"92,900  €"
"Samazināta Cena - Pēdējā Cena. 
Tiek pārdots gaišs un mājīgs 2",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dxgdo.html,Centre Lugazhu 4,2,47,5/5,Lit pr.,"51,000  €"
"Pārdod 2-istabu dzīvokli Sarkandaugavas vēsturiskajā centrā, vie",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/gjmxb.html,Sarkandaugava Priezhu 4,2,40,2/3,Pre-war house,"27,000  €"
Remontēts studio tipa dzīvoklis Pļavniekos atbrīvots un gatavs d,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bkxgec.html,Plyavnieki Ulbrokas 12,1,40,2/5,Sm.fam.,"46,800  €"
Pārdod stilīgu 2-istabu dzīvokli pilsētas sirdī – ideāls gan dzī,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/ofxcp.html,Vecriga Kaleju 57,2,34,1/5,Recon.,"134,800  €"
Moderns dizainera dzīvoklis mūsdienīgajā projektā pašā centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajfek.html,Centre Kungu 25,1,33,4/6,New,"120,000  €"
"Pārdodu divstāvu dzīvokli ar unikālu skatu uz Daugavu. 

Dzīvo",https://www.ss.com/msg/en/real-estate/flats/riga/kliversala/epnfe.html,Kliversala Kugu 28,3,134,1/7,New,"625,000 €"
"Pārdodu mājīgu 2 istabu dzīvokli ar mēbelēm, ar 3 metru augstiem",https://www.ss.com/msg/en/real-estate/flats/riga/dzeguzhkalns/dholk.html,Dzeguzhkalns Dagmaras 4,2,57,3/4,Spec. pr.,"93,000  €"
"Pārdodam dzīvokli Ieriķu ielā 14, 2. stāvs 2 stāvu ķieģeļu mājā",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/agjml.html,Purvciems Ieriku 14,2,45,2/2,Stalin project,"66,000 €"
Īpašnieks pārdod gaišu un saulainu 2 istabu dzīvokli vienā no la,https://www.ss.com/msg/en/real-estate/flats/riga/centre/agiok.html,Centre Blaumana 9A,2,51,5/6,Recon.,"229,500  €"
"Pārdodam dzīvokli Salaspils ielā 18 k 4, 5 stāvu mājas 4. stāvā.",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/adfil.html,Kengarags Salaspils 18к4,3,60,4/5,Lit pr.,"62,000  €"
"Četristabu dzīvoklis Skanstē ar skatu uz parku. 

Virtuve aprī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/begljn.html,Centre Grostonas 21,4,110,8/10,New,"345,000  €"
"Kvalitatīvs dzīvoklis pēc kapitālā remonta. Ļoti ērts 3.stāvs, n",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/chjhm.html,Bolderaya Lemeshu 9,3,63,3/9,602-th,"85,000  €"
Dzīvoklis tikko pēc remonta. Pārdod gaišu un siltu trīsistabu dz,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/dgfjb.html,Purvciems Stirnu 51,3,60,4/5,Lit pr.,"72,600  €"
Pārdod vēsturisku un gaišu vienistabas dzīvokli Rīgā – Valērijas,https://www.ss.com/msg/en/real-estate/flats/riga/krasta-st-area/mnnlf.html,Krasta st. area Lubanas 12,1,36,4/4,Pre-war house,"42,540  €"
Pārdod mansardu ar izstrādātu projektu četru dzīvokļu izbūvei Āg,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bcfxhh.html,Agenskalns Valguma 17,6,371,6/6,Pre-war house,"55,575  €"
Pārdošanā gaišs un saulains 2 istabu dzīvoklis Zolitūdē. Dzīvokl,https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/dhokf.html,Zolitude Lejina 10,2,55,6/9,119-th,"110,000  €"
"Pārdod kapitāli izremontētu 3-istabu dzīvokli Iļguciemā, kurā pē",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/hnhxh.html,Ilguciems Spilves 17,3,55,4/5,Lit pr.,"82,500  €"
"Pārdod izremontētu dzīvokli. Tikko pabeigts kapitālais remonts,",https://www.ss.com/msg/en/real-estate/flats/riga/mangalsala/mepii.html,Mangalsala Traleru 19,2,44,5/5,103-th,"48,900  €"
"Pārdod siltu, saulainu un mājīgu dzīvokli. Ir parkings un nolikt",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cbihj.html,Centre Vesetas 10,2,66,5/7,Spec. pr.,"132,000  €"
Plašs 2 istabu dzīvoklis ar saulainu terasi Premium klases proje,https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/gxxxf.html,Ziepniekkalns Kometas 10,2,66,1/4,New,"129,900  €"
"2-комнатная квартира в Кенгарагсе, Рига

Площадь: 45 м²
Комна",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/dicmg.html,Kengarags Latgales 423,2,46,4/5,Lit pr.,"47,000  €"
Izsmalcināts 2-istabu dzīvoklis renovētā namā Rīgas centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedbxj.html,Centre Chaka 26,2,53,5/7,Recon.,"165,000  €"
Gaišs 3 istabu dzīvoklis pēc kvalitatīva remonta 66 m² + 8 m² ba,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhjlg.html,Centre Chaka 133,3,74,6/6,Pre-war house,"180,000  €"
"Kluss, silts dzīvoklis sētas mājas 1. stāvā. Logi iziet uz divām",https://www.ss.com/msg/en/real-estate/flats/riga/centre/hxpim.html,Centre Barona 108,1,25,1/5,Pre-war house,"45,000  €"
Divu līmeņu dzīvoklis ar pārdomātu plānojumu un lielu griestu au,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aimef.html,Centre Sadovnikova 29a,4,110,5/6,Recon.,"190,000  €"
"Unikāls dzīvoklis ar tiešu skatu uz Brīvības pieminekli, Bastejk",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bobfc.html,Centre Brivibas 19,3,70,5/6,Pre-war house,"265,000  €"
"Pārdod plašu 2 istabu dzīvokli Šampēterī, projektā “Zalves dārzs",https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bbfdic.html,Shampeteris-Pleskodale Zalves 35,2,73,1/4,New,"140,000  €"
"Tiek pārdots plašs četru istabu dzīvoklis Stabu ielā – vietā, ku",https://www.ss.com/msg/en/real-estate/flats/riga/centre/akixn.html,Centre Stabu 61,4,94,1/5,Pre-war house,"165,000  €"
Pārdod 2 istabu studio tipa dzīvokli jaunajā projektā Vecrīgā. D,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ankkl.html,Centre Kaleju 74,2,61,3/6,New,"150,000  €"
"Квартира под ремонт .
За всю историю квартиры - один владелец.",https://www.ss.com/msg/en/real-estate/flats/riga/teika/aikel.html,Teika Bikernieku 105,2,39,2/3,Chrusch.,"43,500  €"
"Īpašnieks pārdod plašu, saulainu 3 istabu dzīvokli (75.7 m²) Buļ",https://www.ss.com/msg/en/real-estate/flats/riga/dzeguzhkalns/beoexx.html,Dzeguzhkalns Bullu 44 B,3,76,3/10,119-th,"83,300  €"
"Īpašnieki pārdod plašu, mājīgu un tikko renovētu 3 istabu dzīvok",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcklcp.html,Centre Zala 3,3,80,1/4,Pre-war house,"219,000  €"
"Pārdošanā dzīvoklis pašā Rīgas centrā. Zemais pirmais stāvs, kop",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bpebi.html,Centre Mīlenbaha 2,3,51,1/5,Pre-war house,"46,000  €"
