description,url,District,R.,m²,Floor,Series,Price
Plašs studio dzīvoklis ar pārdomātu plānojumu un balkonu - izcil,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bxegkd.html,Agenskalns Trijadibas 1a,1,44,2/7,New,"156,028  €"
"Pārdod skaistu dzīvokli unikālā dzīvojamā ēkā Hoft, Rīgas klusaj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/genmm.html,Centre Strelnieku 5,3,85,4/6,New,"475,000  €"
Pārdodam gaišu vienistabu dzīvokli pamatīgā mājā. Lielisks piedā,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/gxkhh.html,Agenskalns Darba 11,1,21,1/2,Pre-war house,"13,780  €"
Pārdodam gaišu divistabu dzīvokli pamatīgā mājā. Lielisks piedāv,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/gbejo.html,Agenskalns Darba 11,2,23,2/2,Pre-war house,"15,780  €"
Saulains studio dzīvoklis ar pārdomātu plānojumu un balkonu - iz,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bchoxj.html,Agenskalns Trijadibas 1a,1,38,2/7,New,"129,774  €"
Tiek pārdots silts un gaišs dzīvoklis Teikā. Tas atrodas klusā v,https://www.ss.com/msg/en/real-estate/flats/riga/teika/cmobn.html,Teika Piebalgas 8,1,28,2/3,Pre-war house,"38,000  €"
Tiek pārdots liels dzīvoklis Teikā. Tas atrodas klusā vietā ar s,https://www.ss.com/msg/en/real-estate/flats/riga/teika/allpo.html,Teika Piebalgas 8,Other,113,1/3,Pre-war house,"93,800  €"
Pārdodam gaišu un plašu trīsistabu dzīvokli pamatīgā mājā. Lieli,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/clmej.html,Agenskalns Kuldigas 45A,3,60,3/3,Pre-war house,"19,470  €"
Tiek pārdots saulains 2-istabu dzīvoklis. Lielisks piedāvājums i,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eocxg.html,Centre Artilerijas 43,2,43,2/2,Pre-war house,"37,890  €"
"2 istabu dzīvoklis labā lokācijā

- Ērts plānojums: plaša vies",https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bbimen.html,Shampeteris-Pleskodale Zalves 33,2,47,1/3,Chrusch.,"53,000  €"
"Продаю 3-комнатную квартиру. 2 изолированные комнаты, гостиная с",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dcppn.html,Centre Gertrudes 69/71,3,82,2/6,Pre-war house,"130,000  €"
"Продаём капитально, качественно отремонтированную 3х комнатную к",https://www.ss.com/msg/en/real-estate/flats/riga/bolderaya/epoox.html,Bolderaya Lielupes 1 k-6,3,57,4/4,Chrusch.,"58,000  €"
